prompt,intent,classes
I want to replicate the 'Quarterly Sales' sheet and place it in a separate workbook. I want to record the customer details for the customer and create the customer contact page for them.,Copy sheet,entry and manipulation
I want to replicate the QS Sheet in a separate workbook. I want to replicate the 'Quarterly Sales' sheet.,Copy sheet,entry and manipulation
"I want to replicate the 'Quarterly Sales' sheet in a separate workbook. ""I want to replicate the 'Quarterly Sales' sheet as a preprinted book; not the same as 'Quarterly Sales' - you buy it separately. ",Copy sheet,entry and manipulation
I want to replicate the Quarterly Sales and Place it in a separate workbook.,Copy sheet,entry and manipulation
"If I duplicate a sheet with name 'Accounts Payable', could I rename that as AP Copy?",Copy sheet,entry and manipulation
Can you duplicate the 'Accounts Payable' sheet and rename it 'AP Copy'?,Copy sheet,entry and manipulation
"What Is the solution to duplicate the 'Accounts Payable' sheet and rename it ""AP Copy""?",Copy sheet,entry and manipulation
Does the 'Accounts Payable' sheet will be renamed the AP Copy?,Copy sheet,entry and manipulation
What is the best way to duplicate your account's payment account without renaming it as Accounts Payable.?,Copy sheet,entry and manipulation
What is the best way to backup a workbook?,Copy sheet,entry and manipulation
"I need to make a backup, so please copy the 'Backup' sheet to a new workbook. ",Copy sheet,entry and manipulation
How does someone get the backup information as backup onto a new workbook?,Copy sheet,entry and manipulation
I'm planning to make a backup in my workbook. Please copy the 'Backup' sheet into my new workbook.,Copy sheet,entry and manipulation
"I need to make a backup, so please copy the 'Backup' sheet to a new workbook",Copy sheet,entry and manipulation
Do you need a copy of the 'Budget' sheet insert after the 'Financials' sheet?,Copy sheet,entry and manipulation
"Can you replicate the budget and insert it after the ""Financials"" sheet?",Copy sheet,entry and manipulation
Is it possible to replicate the budget and insert it after the finance sheet?,Copy sheet,entry and manipulation
Will you reproduce the budget sheet after financial statement?,Copy sheet,entry and manipulation
Is it possible to copy the budget statement in Excel and insert it after the Finance sheet?,Copy sheet,entry and manipulation
Please create a copy of the 'Inventory' sheet and append '_Copy' to its name?,Copy sheet,entry and manipulation
Please make a copy of the 'Inventory' sheet and append '_Copy' to its name.,Copy sheet,entry and manipulation
"Please create a copy of the 'Inventory' sheet and append '_Copy' to its name"".",Copy sheet,entry and manipulation
Do you have any suggestions on how to make an Inventory file copy from here or it's own name?,Copy sheet,entry and manipulation
"How does 'Inventory' worksheets come together? Please include ""_Copy"" in the URL of the software product and the 'Add the Data' box to the right and create a copy of the software product.",Copy sheet,entry and manipulation
I want to clone the 'Sales Forecast' sheet and move it to a different workbook. There's no money to do. You just need to write the details.,Copy sheet,entry and manipulation
I want to clone the Sales Forecast sheet. I can use it in a different workbook.,Copy sheet,entry and manipulation
I want to clone the 'Sales Forecast' sheet and move it to a new workbook,Copy sheet,entry and manipulation
I want to clone the sales forecast. So I move it to a different workbook.,Copy sheet,entry and manipulation
Should I send the 'Expense Report' sheet before the income statement?,Copy sheet,entry and manipulation
Where do you locate an 'Expense Report' sheet before the 'Income Statement'?,Copy sheet,entry and manipulation
Can you duplicate the 'Expense Report' sheet and place it before the 'Income Statement'?,Copy sheet,entry and manipulation
Could you duplicate the 'Expense Report' sheet and place it before the 'Income Statement'?,Copy sheet,entry and manipulation
"If you're looking to do something special for my accounting', can you duplicate the ""Expense Report"" sheet and place it before the ""Income Statement""?",Copy sheet,entry and manipulation
I need to replicate the Analysis sheet and save it in a different workbook.,Copy sheet,entry and manipulation
How do I save the analysis sheets in a separate workbook?,Copy sheet,entry and manipulation
I need to replicate the 'Analysis' sheet and save it in a different workbook. I use it to do everything I do using it already.,Copy sheet,entry and manipulation
I need to replicate the Analytical Sheet and save it in a different workbook.,Copy sheet,entry and manipulation
Can I create a duplicate of the 'Customer Data' sheet and name it 'Customer Data_Copy'?,Copy sheet,entry and manipulation
[X]Can you create a duplicate of the 'Customer Data' sheet and name it it 'Customer Data_Copy'?,Copy sheet,entry and manipulation
"If I create a duplicate of 'Customer Data' sheet and name it 'Customer Data_Copy', what is the problem?",Copy sheet,entry and manipulation
Can you create a duplicate of the 'customer data' sheet and name it 'customer data_copy'?,Copy sheet,entry and manipulation
How do you create a duplicate of the 'Customer Data' sheet and name it as 'Customer Data_Copy'?,Copy sheet,entry and manipulation
Please copy and paste the 'Summary' sheet and insert it before the Details' sheet.,Copy sheet,entry and manipulation
"Why is there a word below ""Summary & Details"" to show that the corresponding product is available at online bookstore?",Copy sheet,entry and manipulation
Why we can't do that. Please copy the summaries sheet and insert it before the detailed detail sheet. We need to replace this sheet with details sheet.,Copy sheet,entry and manipulation
"Please copy the summary sheet and insert it before the details sheet."" ""Summary"" ""Summary"" ""The detailed section is important.",Copy sheet,entry and manipulation
"Please copy the 'Summary' sheet and insert it before the 'Details' sheet"".",Copy sheet,entry and manipulation
Do I need a copy of a marketing plan sheet?,Copy sheet,entry and manipulation
"I want to duplicate the 'Marketing Plan' sheet and move it to a separate workbook. (Yes, I really have). ""How do I do this?)?",Copy sheet,entry and manipulation
"I want to duplicate the 'Marketing Plan' sheet and move it to a separate workbook. I've learned a lot from previous clients that I want to prepare their 'book' of the book ""In this case a competitor.",Copy sheet,entry and manipulation
I want to duplicate the 'Marketing Plan' sheet and move it to a separate workbook.,Copy sheet,entry and manipulation
"How do you create a 'Quarterly Review' sheet and assign it a date, file, and time?",Copy sheet,entry and manipulation
Can you clone the Daily Review section and rename it 'Review_Copy'?,Copy sheet,entry and manipulation
What's the best way to clone the 'Quarterly Review' sheet and rename it to 'Review_Copy'?,Copy sheet,entry and manipulation
Would you clone the 'Quarterly Review' sheet and rename it 'Review_Copy'?,Copy sheet,entry and manipulation
How can you clone 'Quarterly Review' sheet and rename it 'Review_Copy'?,Copy sheet,entry and manipulation
"If I need a backup, please copy the 'backup' sheet to a new workbook.",Copy sheet,entry and manipulation
"If I need to make a backup sheet, can you copy the back up sheet to another copy?",Copy sheet,entry and manipulation
I need to make a backup. Please copy the 'Backup' sheet to my new workbook!,Copy sheet,entry and manipulation
How do I make a backup for an application sheet or a computer?,Copy sheet,entry and manipulation
